reference|marque|modele|annee|couleur|carburant|kilometrage|immatriculation|ville|prix|qte_initial
VEH-001|Peugeot|208|2022|Gris platine|Essence|105761|86-TWA-855|Nimes|19246|7
VEH-002|Nissan|Micra|2019|Noir perla|Essence|120259|97-ATB-727|Nimes|15513|7
VEH-003|BMW|X1|2016|Rouge flamme|Diesel|70825|73-YFY-167|Reims|25024|3
VEH-004|Fiat|500|2017|Noir perla|GPL|66258|64-YYS-981|Paris|30578|5
VEH-005|Opel|Grandland|2023|Orange fusion|Electrique|192095|30-VBW-542|Tours|35268|4
VEH-006|Ford|Focus|2018|Rouge flamme|Essence|182439|68-ZOL-148|Caen|41639|5
VEH-007|BMW|X1|2015|Noir perla|GPL|104976|24-CMG-425|Bordeaux|43862|4
VEH-008|Ford|Kuga|2015|Gris platine|Hybride|112190|99-TYM-846|Reims|14049|1
VEH-009|Dacia|Sandero|2020|Blanc nacre|Diesel|116238|38-ADT-133|Rennes|30912|3
VEH-010|Nissan|Juke|2024|Beige sable|Electrique|110716|25-LGG-453|Dijon|15955|3
VEH-011|BMW|Serie 1|2015|Blanc nacre|Diesel|183056|75-UKE-172|Montpellier|54445|7
VEH-012|Audi|A1|2016|Noir perla|Essence|149296|93-AZX-279|Dijon|46656|7
VEH-013|Mini|Cooper|2018|Gris platine|Hybride|47568|63-DPB-309|Amiens|37364|1
VEH-014|Ford|Focus|2018|Bleu intense|Hybride|113649|89-IGL-774|Reims|51804|3
VEH-015|Citroen|C3|2016|Bleu intense|Essence|119682|85-WTR-289|Nice|41553|6
VEH-016|Ford|Fiesta|2021|Orange fusion|Electrique|140681|97-OJU-261|Aix-en-Provence|35727|1
VEH-017|BMW|X1|2018|Argent|GPL|105439|65-BJM-898|Toulouse|52413|2
VEH-018|Hyundai|Ioniq 5|2023|Gris platine|Hybride|154920|41-SEA-715|Caen|30863|7
VEH-019|Fiat|600|2023|Argent|Diesel|40829|63-UEH-588|Amiens|25688|6
VEH-020|Mini|Countryman|2024|Blanc nacre|GPL|171094|27-DME-150|Rouen|27883|8
VEH-021|Renault|Clio V|2025|Gris platine|GPL|175208|22-KDL-612|Angers|54317|7
VEH-022|Renault|Megane E-Tech|2018|Orange fusion|Electrique|25084|50-KHP-524|Nantes|21451|1
VEH-023|Peugeot|5008|2015|Beige sable|Hybride|167408|35-NDW-846|Valence|31914|7
VEH-024|Dacia|Spring|2024|Noir perla|Diesel|64508|13-HWR-244|Nimes|51491|7
VEH-025|Renault|Scenic E-Tech|2019|Blanc nacre|Diesel|50452|30-ACL-147|Marseille|29630|8
VEH-026|Renault|Clio V|2025|Orange fusion|GPL|129302|96-GGU-851|Le Havre|27403|4
VEH-027|Opel|Corsa|2021|Beige sable|Diesel|149129|21-STA-378|Nimes|30361|8
VEH-028|Ford|Puma|2020|Vert olive|Diesel|191255|51-VED-737|Perpignan|34864|2
VEH-029|Fiat|Tipo|2019|Argent|Essence|66450|45-FWH-151|Strasbourg|54793|4
VEH-030|Toyota|Corolla|2024|Noir perla|GPL|15865|98-UER-454|Lyon|53220|7
VEH-031|Hyundai|Tucson|2020|Bleu intense|GPL|137690|51-QKV-954|Metz|28213|3
VEH-032|Mercedes|Classe A|2018|Noir perla|Hybride|175803|17-IGF-748|Grenoble|51029|5
VEH-033|Toyota|Aygo X|2024|Vert olive|Electrique|131890|81-SWA-332|Mulhouse|59288|7
VEH-034|Renault|Arkana|2021|Rouge flamme|GPL|49792|14-SWD-885|Dijon|28414|2
VEH-035|Dacia|Spring|2017|Argent|Electrique|51299|84-CUW-826|Aix-en-Provence|49527|3
VEH-036|Renault|Twingo|2020|Rouge flamme|Essence|85064|35-ART-946|Metz|28372|5
VEH-037|Kia|Sportage|2024|Noir perla|Electrique|43875|86-THV-513|Nantes|41287|4
VEH-038|Citroen|C5 Aircross|2023|Bleu intense|Electrique|197301|71-XWQ-124|Reims|52596|6
VEH-039|Fiat|500|2015|Gris platine|GPL|13294|69-VFJ-170|Nantes|54120|5
VEH-040|Mercedes|Classe C|2019|Blanc nacre|Diesel|76022|58-PIB-606|Nice|57357|7
VEH-041|Hyundai|i30|2020|Vert olive|Essence|117112|33-ZXL-218|Amiens|20570|7
VEH-042|Dacia|Duster|2023|Violet royal|GPL|42234|15-HIS-385|Brest|9748|6
VEH-043|Hyundai|i20|2017|Noir perla|GPL|60393|44-EYR-332|Angers|58715|1
VEH-044|Renault|Captur|2016|Bleu intense|Diesel|13077|96-ZPG-391|Hyeres|27904|2
VEH-045|Audi|Q5|2019|Beige sable|Hybride|6870|80-EZD-160|Marseille|8954|6
VEH-046|Renault|Scenic E-Tech|2022|Bleu intense|Electrique|94012|88-HEU-342|Metz|32764|1
VEH-047|Ford|Fiesta|2016|Bleu intense|GPL|101917|44-GDT-499|Rouen|50226|5
VEH-048|Toyota|Aygo X|2015|Bleu intense|Diesel|176084|42-UJR-666|Bordeaux|33481|7
VEH-049|Mini|Cooper|2018|Noir perla|Hybride|137227|72-SIJ-501|Reims|8722|7
VEH-050|Hyundai|Kona|2021|Rouge flamme|Essence|8809|20-YEF-575|Nimes|35630|6
VEH-051|Renault|Scenic E-Tech|2020|Vert olive|Hybride|42067|77-DCV-778|Lyon|38123|7
VEH-052|Mercedes|Classe C|2018|Noir perla|Essence|74513|95-EMJ-899|Nantes|54500|1
VEH-053|Citroen|C3|2020|Orange fusion|Diesel|158820|94-EGW-434|Bordeaux|8428|1
VEH-054|Renault|Megane E-Tech|2024|Gris platine|GPL|174857|86-UVG-551|Besancon|42148|2
VEH-055|Mercedes|Classe A|2022|Blanc nacre|Diesel|94400|56-OSH-775|Rouen|30163|8
VEH-056|Renault|Scenic E-Tech|2022|Beige sable|Hybride|103923|57-EYP-442|Brest|10854|5
VEH-057|Opel|Corsa|2016|Beige sable|Electrique|19848|10-ARE-236|Brest|26925|5
VEH-058|Hyundai|Kona|2015|Violet royal|Electrique|45355|90-OYL-863|Nantes|38084|1
VEH-059|Peugeot|3008|2023|Noir perla|Diesel|163673|25-MUP-213|Annecy|42933|8
VEH-060|Ford|Fiesta|2016|Noir perla|Essence|83787|43-DDT-153|Nimes|52055|6
VEH-061|Toyota|C-HR|2015|Beige sable|Essence|170001|28-TGI-277|Aix-en-Provence|43341|7
VEH-062|Renault|Scenic E-Tech|2016|Vert olive|Hybride|149951|56-VQZ-875|Martigues|22085|1
VEH-063|Seat|Ateca|2020|Vert olive|Essence|99432|77-YCQ-449|Martigues|9534|7
VEH-064|Nissan|Micra|2015|Blanc nacre|GPL|17984|49-RZH-792|Grenoble|9535|4
VEH-065|Ford|Kuga|2022|Blanc nacre|Electrique|66948|58-FNR-186|Hyeres|15429|8
VEH-066|Hyundai|Tucson|2016|Bleu intense|Diesel|43030|50-BGW-313|Bordeaux|33031|1
VEH-067|Mini|Clubman|2022|Rouge flamme|GPL|65610|71-ELN-744|Lyon|8360|6
VEH-068|Fiat|Tipo|2020|Argent|Diesel|115441|77-OJE-765|Villeurbanne|48982|2
VEH-069|Seat|Ibiza|2024|Beige sable|Electrique|129805|32-SFB-233|Paris|28980|8
VEH-070|Renault|Twingo|2023|Bleu intense|GPL|72280|12-LCU-831|Lyon|40204|4
VEH-071|Mini|Clubman|2021|Gris platine|Electrique|197799|21-YFS-704|Brest|53563|8
VEH-072|Nissan|Micra|2017|Noir perla|Hybride|9965|87-KUH-180|Martigues|56526|1
VEH-073|Peugeot|2008|2022|Gris platine|GPL|100263|58-BLP-822|Toulouse|31495|3
VEH-074|Dacia|Spring|2023|Vert olive|Electrique|90930|76-FDU-449|Nice|34233|5
VEH-075|Ford|Kuga|2024|Argent|Essence|29274|47-RFI-386|Nantes|56880|8
VEH-076|Audi|A1|2023|Rouge flamme|GPL|103769|29-EPX-708|Le Havre|29031|5
VEH-077|Volkswagen|Polo|2024|Noir perla|GPL|84122|43-DXS-615|Amiens|19768|8
VEH-078|Citroen|C3|2021|Orange fusion|GPL|164551|93-EIY-548|Caen|40070|2
VEH-079|Seat|Arona|2024|Vert olive|Diesel|9198|51-IET-299|Saint-Etienne|42873|3
VEH-080|Mini|Countryman|2016|Vert olive|Essence|103887|87-BDS-504|Aix-en-Provence|35936|4
VEH-081|Dacia|Spring|2025|Violet royal|Hybride|109111|59-OEQ-319|Limoges|35401|1
VEH-082|Toyota|RAV4|2019|Violet royal|Electrique|111933|31-WUU-160|Perpignan|27795|3
VEH-083|Dacia|Jogger|2019|Noir perla|Diesel|78564|80-CGH-737|Amiens|29128|3
VEH-084|Opel|Astra|2020|Bleu intense|Hybride|27028|41-BUV-457|Rennes|32468|8
VEH-085|Mini|Countryman|2019|Beige sable|Essence|148234|35-LVP-788|Martigues|31349|1
VEH-086|Nissan|Qashqai|2020|Blanc nacre|Essence|97507|95-QMN-279|Montpellier|45016|2
VEH-087|Mini|Countryman|2019|Violet royal|Electrique|153046|96-PLT-547|Besancon|16771|6
VEH-088|Kia|EV6|2022|Beige sable|Hybride|187750|17-SOU-941|Nantes|34396|1
VEH-089|Renault|Megane E-Tech|2018|Orange fusion|Hybride|158507|29-NRF-817|Dijon|34127|3
VEH-090|Dacia|Sandero|2022|Vert olive|Electrique|152586|69-EZN-534|Nantes|11265|8
VEH-091|Nissan|Juke|2019|Bleu intense|Hybride|12259|97-ZOE-123|Bordeaux|49620|6
VEH-092|Mini|Cooper|2021|Vert olive|GPL|150384|83-HUF-535|Lyon|38679|7
VEH-093|Fiat|600|2024|Rouge flamme|Electrique|50548|25-EVV-104|Bordeaux|46909|8
VEH-094|Mercedes|GLA|2020|Rouge flamme|GPL|166796|59-XLX-430|Lille|35306|5
VEH-095|Ford|Kuga|2019|Orange fusion|Essence|80091|34-YNR-733|Marseille|39161|5
VEH-096|Dacia|Sandero|2018|Vert olive|GPL|39812|32-DAX-872|Valence|10629|8
VEH-097|Seat|Ateca|2020|Noir perla|Electrique|63215|39-RLU-730|Nice|56481|7
VEH-098|Renault|Twingo|2018|Vert olive|Hybride|86765|24-NHB-582|Strasbourg|47898|7
VEH-099|Peugeot|208|2018|Vert olive|Diesel|198886|35-TII-379|Bordeaux|54273|5
VEH-100|Volkswagen|Passat|2021|Rouge flamme|Electrique|114929|93-TIY-518|Brest|22181|8
VEH-101|Peugeot|208|2018|Beige sable|Essence|13195|90-DRR-625|Reims|10522|4
VEH-102|Audi|Q2|2025|Beige sable|Diesel|66109|29-RRV-449|Rouen|46529|4
VEH-103|Peugeot|3008|2017|Violet royal|Essence|149882|40-CTJ-667|Dijon|21906|4
VEH-104|Fiat|600|2019|Orange fusion|GPL|66687|86-BFF-655|Villeurbanne|46954|3
VEH-105|Citroen|Berlingo|2022|Argent|Electrique|148167|22-TWI-707|Bordeaux|16426|1
VEH-106|Dacia|Spring|2025|Beige sable|Electrique|127756|26-EDB-556|Rouen|27912|2
VEH-107|Renault|Kadjar|2023|Gris platine|Electrique|34387|89-VAW-892|Grenoble|46691|5
VEH-108|Volkswagen|Passat|2020|Bleu intense|Hybride|34430|18-IQC-319|Marseille|32974|6
VEH-109|BMW|X3|2018|Violet royal|Essence|84432|91-GZW-421|Dijon|24526|2
VEH-110|Citroen|C4|2025|Violet royal|Hybride|192678|33-ESN-234|Lille|45571|5
VEH-111|Ford|Mustang Mach-E|2020|Rouge flamme|Hybride|158850|53-XTO-457|Amiens|59432|2
VEH-112|Fiat|500|2020|Rouge flamme|Essence|48140|12-ECX-350|Angers|29551|2
VEH-113|Fiat|500|2022|Beige sable|Essence|83127|56-ZQG-932|Mulhouse|23948|4
VEH-114|Hyundai|i30|2017|Noir perla|Electrique|156292|38-QLD-334|Nice|10673|4
VEH-115|Peugeot|308|2025|Gris platine|GPL|56367|34-RAR-746|Toulouse|57929|7
VEH-116|Opel|Grandland|2018|Bleu intense|Electrique|89613|39-IPW-682|Valence|58669|7
VEH-117|Ford|Fiesta|2025|Argent|GPL|130562|67-ANN-142|Caen|43394|5
VEH-118|Audi|A3|2018|Noir perla|Diesel|9630|65-TQH-138|Paris|50473|1
VEH-119|Kia|Sportage|2019|Beige sable|Diesel|128687|74-NKN-757|Rennes|55074|2
VEH-120|Volkswagen|Passat|2023|Gris platine|GPL|155114|40-JLU-325|Le Mans|51113|2
VEH-121|Mercedes|Classe A|2021|Vert olive|Hybride|21654|31-SAZ-873|Paris|45379|5
VEH-122|Hyundai|i30|2016|Noir perla|Diesel|64396|53-ZSK-651|Limoges|50776|8
VEH-123|Kia|Ceed|2022|Gris platine|Hybride|136490|31-KVN-475|Valence|19453|3
VEH-124|Mercedes|GLC|2019|Blanc nacre|Electrique|22668|48-AAA-464|Brest|20416|5
VEH-125|BMW|Serie 3|2018|Blanc nacre|Essence|105730|94-BOG-794|Strasbourg|36017|3
